title,company,location,salary,skills_raw,skills_list,salary_clean
Doom Scroller,Dropz,Kochi,"₹ 8,000 - 12,000 /month","Content Writing, Research, Digital Marketing, Market Analysis, Video Making, Content Management, Marketing Strategy, Client Interaction, Business Analysis, Business Research, Client Relationship, Market research, Sales, Marketing Strategies, Client Interaction, Business Analysis, Business Research, Client Relationship, English Proficiency (Written), Market research, Data Analysis, MS-Excel, Business Research, Sales, Effective Communication, Data Analysis, MS-Office, MS-PowerPoint, MS-Excel, Client Relationship Management (CRM), Adaptability, Interpersonal skills, Effective Communication, MS-Office, Analytical Thinking, MS-Excel, English Proficiency (Spoken), Effective Communication, Data Analysis, MS-Office, Typing, MS-Excel, Data Analysis, Microsoft Outlook, Social Media Marketing, Content Writing, Google Analytics, Adobe Illustrator, Search Engine Marketing (SEM), Digital Marketing, Search Engine Optimization (SEO), MS-Excel, English Proficiency (Spoken), Hindi Proficiency (Spoken), Effective Communication, Data Analysis, English Proficiency (Spoken), Interpersonal skills, Data Analysis, Customer Support, Social Media Marketing, MS-Office, Project Management, Digital Marketing, Time Management, Facebook Marketing, Problem Solving, Social Media Marketing, Project Management, MS-Word, Time Management, MS-Excel, Product Management, Advanced Excel, Social Media Marketing, Project Management, Operations, MS-Excel, Business Analysis, Advanced Excel, English Proficiency (Spoken), Java, AutoCAD, MATLAB, JavaScript, Teamwork, CAD, Data Analysis, MS-Office, Data Visualization, Economics, Research and Analytics, Data Analysis, Time Management, Critical thinking, MS-Excel, Problem Solving, Effective Communication, Data Analysis, Time Management, Cold Calling, Lead Generation, Business Development, Sales, Data Analysis, Email Management, MS-Office, Python, SQL, Data Analytics, MS-Excel, Data Interpretation, Power BI, Social Media Marketing, Creativity, Market Analysis, Creative Thinking, Facebook Marketing, Creative Writing, Critical thinking, MS-Office, Recruitment, MS-Word, English Proficiency (Spoken), English Proficiency (Written), HR branding, Data Analysis, Client Interaction, Business Analysis, Business Research, Client Relationship, English Proficiency (Written), Market research, Sales, Client Interaction, Business Analysis, Business Research, Client Relationship, Market research, Sales, Marketing Strategies, Mathematics, Analytical Thinking, Data Analysis, Google Sheets, Communication Skills, Operations, MS-Excel, Coordination, English Proficiency (Written), Data Analysis, Stakeholder Management, Communication Skills, MS-Excel, Interpersonal skills, Market research, Data Analysis, English Proficiency (Spoken), English Proficiency (Written), Effective Communication, Data Analysis, Market Analysis, MS-Excel, Market research, Marketing, Effective Communication, Data Analysis, Negotiations, MS-Excel, Data entry, Data Analysis, JavaScript, Python, Computer Networking, Data Structures, Prototyping, Data Analysis, Communication Skills, MS-Office, Research, Analytical Thinking, Business Analysis, Research and Analytics, Data Analysis, Research, Attention to Detail, Data Analysis, MS-Excel, Financial Modeling, Financial Analysis, Research and Analytics, Financial literacy, Data Analysis, Networking, Data Analytics, Market Analysis, Client Relationship, English Proficiency (Spoken), English Proficiency (Written), Market research, Social Media Marketing, Content Writing, Project Management, Digital Marketing, Time Management, Market Analysis, Facebook Marketing, Python, SQL, VBA, Data Analysis, MS-Office, Negotiation, Project Management, Time Management, Decision making, Problem Solving, Risk Management, Search Engine Optimization (SEO), Creative Writing, Product Management, Data Analysis, Research and Analytics, Market research, Marketing, Effective Communication, Data Analysis, Google Sheets, Negotiation, Project Management, Market research, Marketing, Effective Communication, Data Analysis, MS-PowerPoint, Data Analytics, Multitasking, Business Analysis, Data entry, Financial Analysis, Data Interpretation, Business Analysis, Business Research, Client Relationship, English Proficiency (Spoken), Sales, Marketing Strategies, Marketing Campaigns, Data Analytics, Machine Learning, Artificial intelligence, Data Analysis, Social Media Marketing, Market Analysis, Business Analysis, Marketing Strategy, Advanced Excel, Business Research, Client Relationship","['Content Writing', 'Research', 'Digital Marketing', 'Market Analysis', 'Video Making', 'Content Management', 'Marketing Strategy', 'Client Interaction', 'Business Analysis', 'Business Research', 'Client Relationship', 'Market research', 'Sales', 'Marketing Strategies', 'English Proficiency (Written)', 'Data Analysis', 'MS-Excel', 'Effective Communication', 'MS-Office', 'MS-PowerPoint', 'Client Relationship Management (CRM)', 'Adaptability', 'Interpersonal skills', 'Analytical Thinking', 'English Proficiency (Spoken)', 'Typing', 'Microsoft Outlook', 'Social Media Marketing', 'Google Analytics', 'Adobe Illustrator', 'Search Engine Marketing (SEM)', 'Search Engine Optimization (SEO)', 'Hindi Proficiency (Spoken)', 'Customer Support', 'Project Management', 'Time Management', 'Facebook Marketing', 'Problem Solving', 'MS-Word', 'Product Management', 'Advanced Excel', 'Operations', 'Java', 'AutoCAD', 'MATLAB', 'JavaScript', 'Teamwork', 'CAD', 'Data Visualization', 'Economics', 'Research and Analytics', 'Critical thinking', 'Cold Calling', 'Lead Generation', 'Business Development', 'Email Management', 'Python', 'SQL', 'Data Analytics', 'Data Interpretation', 'Power BI', 'Creativity', 'Creative Thinking', 'Creative Writing', 'Recruitment', 'HR branding', 'Mathematics', 'Google Sheets', 'Communication Skills', 'Coordination', 'Stakeholder Management', 'Marketing', 'Negotiations', 'Data entry', 'Computer Networking', 'Data Structures', 'Prototyping', 'Attention to Detail', 'Financial Modeling', 'Financial Analysis', 'Financial literacy', 'Networking', 'VBA', 'Negotiation', 'Decision making', 'Risk Management', 'Multitasking', 'Marketing Campaigns', 'Machine Learning', 'Artificial intelligence']","₹ 8,000 - 12,000 /month"
Doom Scroller,Dropz,Kochi,"₹ 8,000 - 12,000 /month","Content Writing, Research, Digital Marketing, Market Analysis, Video Making, Content Management, Marketing Strategy","['Content Writing', 'Research', 'Digital Marketing', 'Market Analysis', 'Video Making', 'Content Management', 'Marketing Strategy']","₹ 8,000 - 12,000 /month"
Business Consultant,She Can Foundation,Work from home,"₹ 1,500 - 15,000 lump sum","Client Interaction, Business Analysis, Business Research, Client Relationship, Market research, Sales, Marketing Strategies","['Client Interaction', 'Business Analysis', 'Business Research', 'Client Relationship', 'Market research', 'Sales', 'Marketing Strategies']","₹ 1,500 - 15,000 lump sum"
Social Consultant,Basti Ki Pathshala Foundation,Work from home,"₹ 1,500 - 15,000 lump sum","Client Interaction, Business Analysis, Business Research, Client Relationship, English Proficiency (Written), Market research, Data Analysis","['Client Interaction', 'Business Analysis', 'Business Research', 'Client Relationship', 'English Proficiency (Written)', 'Market research', 'Data Analysis']","₹ 1,500 - 15,000 lump sum"
Business Consultant,The Indian Express,Noida,"₹ 7,000 - 10,000 /month","MS-Excel, Business Research, Sales, Effective Communication, Data Analysis","['MS-Excel', 'Business Research', 'Sales', 'Effective Communication', 'Data Analysis']","₹ 7,000 - 10,000 /month"
Sales,Visual Eyes Films,Hyderabad,"₹ 9,000 - 10,000 /month","MS-Office, MS-PowerPoint, MS-Excel, Client Relationship Management (CRM), Adaptability, Interpersonal skills, Effective Communication","['MS-Office', 'MS-PowerPoint', 'MS-Excel', 'Client Relationship Management (CRM)', 'Adaptability', 'Interpersonal skills', 'Effective Communication']","₹ 9,000 - 10,000 /month"
Data Entry,Rajlaxmi Solutions Private Limited,Thane,"₹ 3,000 - 5,000 /month","MS-Office, Analytical Thinking, MS-Excel, English Proficiency (Spoken), Effective Communication, Data Analysis","['MS-Office', 'Analytical Thinking', 'MS-Excel', 'English Proficiency (Spoken)', 'Effective Communication', 'Data Analysis']","₹ 3,000 - 5,000 /month"
Data Entry,Nedlloyd Logistics Private Limited,Delhi,"₹ 7,000 - 13,000 /month","MS-Office, Typing, MS-Excel, Data Analysis, Microsoft Outlook","['MS-Office', 'Typing', 'MS-Excel', 'Data Analysis', 'Microsoft Outlook']","₹ 7,000 - 13,000 /month"
Digital Marketing,COSGrid Systems Private Limited,Chennai,"₹ 12,000 - 16,000 /month","Social Media Marketing, Content Writing, Google Analytics, Adobe Illustrator, Search Engine Marketing (SEM), Digital Marketing, Search Engine Optimization (SEO)","['Social Media Marketing', 'Content Writing', 'Google Analytics', 'Adobe Illustrator', 'Search Engine Marketing (SEM)', 'Digital Marketing', 'Search Engine Optimization (SEO)']","₹ 12,000 - 16,000 /month"
Telecalling (Tamil/Telugu/Malayalam),Inspacco,"Kerala, Tamil Nadu","₹ 12,000 - 20,000 /month","MS-Excel, English Proficiency (Spoken), Hindi Proficiency (Spoken), Effective Communication, Data Analysis","['MS-Excel', 'English Proficiency (Spoken)', 'Hindi Proficiency (Spoken)', 'Effective Communication', 'Data Analysis']","₹ 12,000 - 20,000 /month"
